                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.673,                 1.8359,                 1.9694,                0.65688,                0.61273,                0.68469,                0.32379,                 1.7373,                 1.5383,                 2.1886,              0.0011272,              0.0011272,              0.0011272
                     35,                 1.7093,                 1.8041,                 1.9871,                0.59931,                0.61221,                0.63847,                0.30388,                  1.748,                 1.6565,                 2.1293,              0.0011178,              0.0011178,              0.0011178
                     36,                 1.6804,                 1.7988,                 1.9595,                0.72852,                0.63475,                0.72337,                0.35973,                 1.6788,                 1.4967,                 2.0467,              0.0011083,              0.0011083,              0.0011083
                     37,                 1.6934,                 1.7924,                 1.9857,                 0.7226,                0.67704,                0.71829,                0.35021,                  1.707,                 1.5083,                 2.0754,              0.0010989,              0.0010989,              0.0010989
                     38,                 1.6551,                 1.7618,                 1.9475,                0.73243,                0.64122,                0.73041,                0.37044,                 1.6241,                  1.476,                 2.0488,              0.0010895,              0.0010895,              0.0010895
                     39,                 1.6557,                 1.7458,                 1.9295,                0.69531,                0.66706,                0.73687,                0.36979,                 1.6611,                 1.4234,                 2.0225,                0.00108,                0.00108,                0.00108
                     40,                 1.6558,                 1.7348,                 1.9358,                0.74627,                0.70267,                0.75592,                0.38005,                 1.6413,                 1.4244,                 2.0048,              0.0010706,              0.0010706,              0.0010706
                     41,                 1.6703,                 1.7346,                 1.9551,                0.69227,                0.66533,                0.73517,                0.35964,                 1.6336,                 1.5184,                 1.9978,              0.0010612,              0.0010612,              0.0010612
                     42,                 1.6572,                 1.7038,                 1.9234,                0.70778,                 0.6506,                0.73854,                0.38228,                   1.64,                 1.4477,                  1.997,              0.0010517,              0.0010517,              0.0010517
                     43,                 1.6501,                 1.6801,                 1.9274,                0.73967,                0.67346,                0.76224,                 0.3995,                 1.6209,                 1.3949,                 1.9781,              0.0010423,              0.0010423,              0.0010423
                     44,                  1.645,                 1.6922,                 1.9168,                0.80635,                0.64049,                0.75613,                0.39873,                 1.6138,                 1.3478,                 1.9626,              0.0010329,              0.0010329,              0.0010329
                     45,                 1.6403,                 1.6628,                 1.9124,                0.75845,                0.68893,                0.76607,                0.40806,                 1.6105,                 1.3734,                  1.946,              0.0010234,              0.0010234,              0.0010234
                     46,                 1.6242,                 1.6336,                 1.8996,                0.75129,                0.72575,                0.78419,                0.41192,                 1.6134,                 1.3587,                  1.994,               0.001014,               0.001014,               0.001014
                     47,                 1.6371,                 1.6648,                 1.9012,                0.72893,                0.70378,                0.77369,                0.41686,                 1.5606,                 1.3309,                 1.9185,              0.0010046,              0.0010046,              0.0010046
                     48,                 1.6357,                 1.6663,                 1.9038,                0.79665,                0.69391,                0.78876,                0.41634,                 1.6057,                 1.3187,                 1.9734,             0.00099516,             0.00099516,             0.00099516
                     49,                 1.6116,                 1.6314,                 1.8868,                0.73764,                0.71505,                0.78261,                0.41757,                  1.582,                 1.3133,                 1.9103,             0.00098572,             0.00098572,             0.00098572
                     50,                 1.6269,                 1.6381,                  1.895,                0.78777,                0.73136,                0.81398,                0.44119,                 1.5435,                 1.2744,                 1.8985,             0.00097629,             0.00097629,             0.00097629
                     51,                 1.6134,                 1.6046,                  1.881,                0.77272,                0.72142,                0.80462,                0.43454,                 1.5629,                 1.2292,                 1.9016,             0.00096686,             0.00096686,             0.00096686
                     52,                 1.5975,                 1.5801,                 1.8621,                  0.704,                0.67483,                0.75599,                0.38176,                 1.6076,                 1.4079,                 1.9457,             0.00095743,             0.00095743,             0.00095743
                     53,                 1.6115,                 1.5995,                  1.875,                0.78216,                0.71247,                0.79531,                 0.4163,                  1.613,                 1.2946,                 1.9692,               0.000948,               0.000948,               0.000948
                     54,                 1.5919,                 1.5575,                 1.8583,                0.79274,                0.67483,                 0.7835,                0.43023,                 1.5688,                 1.2676,                 1.9262,             0.00093857,             0.00093857,             0.00093857
